Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30
,,Net New Policies by Maker,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Sales Month,,,,,,,,,,,,,,,,,,,,,,,,
,,Measure,Make,,2025-02-01 00:00:00,2025-03-01 00:00:00,2025-04-01 00:00:00,2025-05-01 00:00:00,2025-06-01 00:00:00,2025-07-01 00:00:00,2025-08-01 00:00:00,2025-09-01 00:00:00,2025-10-01 00:00:00,2025-11-01 00:00:00,2025-12-01 00:00:00,2026-01-01 00:00:00,,12 Month,Total,Total,Total,Total,Total,,YTD,YTD,,,,
,,,,,,,,,,,,,,,,,,Average,2021,2022,2023,2024,2025,,2025,2026,,,,
,,Policies,SAMSUNG,,15323,14821,13936,13119,12956,11987,11475,11094,11376,10686,10159,9013,,11874.727272727272,47137,51817,49029,208865,152628,,15696,9013,,,,
,,Policies,XIAOMI, ,10462,10744,10259,9991,9402,8867,8436,8209,8004,7876,7598,6603,,8726.272727272728,21537,26971,28061,138004,111090,,11242,6603,,,,
,,Policies,UNKNOWN/OTHER, ,3871,3803,3807,3482,3465,3519,3407,3528,3757,3855,3583,3533,,3612.6363636363635,6148,7493,8016,40483,44034,,3957,3533,,,,
,,Total,, ,55000,54655,52127,50126,48669,46044,44016,43150,42362,41439,38566,34596,,45068.181818181816,149951,166575,163217,731692,573534,,57380,34596,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,New Business,APPLE, ,0.3356181818181818,0.33598023968529867,0.3399965468950832,0.3443522323744165,0.3454560397789147,0.35185909130397014,0.35430298073427846,0.3512862108922364,0.3450498087908975,0.34600255797678514,0.34468184411139347,0.33865186726789226,,0.34523812907374246,0.23322285279858088,0.260117064385412,0.28063865896322077,0.3265404022457537,0.3432682282131487,,0.33208434994771696,0.33865186726789226,,,,
,,Mix,BQ, ,0.00025454545454545456,0.00018296587686396487,0.00024939091066050224,0.00017954754019869928,0.00028765744108159196,0.0004343671270958214,6.815703380588877e-05,0.0002085747392815759,0,0.00024131856463717753,0.00018150702691489912,0.00014452537865649207,,0.00019800105810878303,0.004828243893005049,0.0025754164790634847,0.002303681601793931,0.0003198066946201407,0.00020922909539800605,,0.00019170442662948763,0.00014452537865649207,,,,
,,Mix,HUAWEI,,0.020072727272727273,0.019138230719970725,0.017035317589732767,0.017296413039141364,0.017321087345127287,0.015485188080966033,0.01269992729916394,0.011123986095017382,0.007365091355460082,0.005622722556046237,0.0060675206140123426,0.005578679616140594,,0.012248560391888978,0.14364025581690018,0.10406723698033919,0.07524951445008791,0.03436281932835127,0.014872701531208263,,0.021802021610317183,0.005578679616140594,,,,
,,Mix,LG, ,0.0013454545454545455,0.0012075747873021682,0.001151034972279241,0.0007580896141722858,0.0014588341654852165,0.0007601424724176874,0.000886041439476554,0.0006488991888760139,0.0005901515509182759,0.0004585052728106373,0.00036301405382979825,0.00046248121170077463,,0.0007949789753880593,0.03358430420604064,0.01859822902596428,0.01439188319844134,0.0034099047140053467,0.0009676845662157779,,0.0014987800627396305,0.00046248121170077463,,,,
,,Mix,OPPO,,0.10350909090909091,0.10615680175647242,0.10437968806952251,0.10691058532498104,0.1048922311943948,0.1021197115802276,0.10228098873137041,0.10762456546929317,0.10082149095887824,0.10671106928255991,0.09536897785614272,0.10165915134697653,,0.10353866014280175,0.0857480110169322,0.09667116914302866,0.105987734120833,0.10597491840829201,0.10409321853630299,,0.10599512025095852,0.10165915134697653,,,,
,,Mix,SAMSUNG,,0.2786,0.27117372610008234,0.2673470562280584,0.2617204644296373,0.2662064147609361,0.26033793762488056,0.26070065430752454,0.25710312862108925,0.26854256172985225,0.25787301817128794,0.26341855520406576,0.2605214475661926,,0.2631768149766916,0.31434935412234666,0.31107309019960977,0.3003915033360496,0.28545480885399865,0.26611848643672387,,0.2735447891251307,0.2605214475661926,,,,
,,Mix,XIAOMI, ,0.19021818181818181,0.19657853810264386,0.19680779634354556,0.19931771934724493,0.19318251864636626,0.19257666579793242,0.19165757906215922,0.1902433371958285,0.18894292054199519,0.19006250150824103,0.19701291292848624,0.19086021505376344,,0.19338570041165515,0.143626918126588,0.1619150532793036,0.17192449315941355,0.18860941489041838,0.19369383506470408,,0.19592192401533634,0.19086021505376344,,,,
,,Mix,UNKNOWN/OTHER, ,0.07038181818181818,0.06958192297136584,0.07303316899111785,0.06946494833020787,0.07119521666769402,0.07642689601250978,0.07740367139222101,0.08176129779837775,0.08868797507199849,0.09302830666763194,0.09290566820515479,0.1021216325586773,,0.08141915496972334,0.041000060019606405,0.044982740507279004,0.04911253117015997,0.0553279248645605,0.07677661655629832,,0.06896131056117114,0.1021216325586773,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
